"State","Factory Type","Factory Name","City","Factory ID"
"Tamil Nadu","Rice Mill","Chennai Rice Industries","Chennai","TN0001"
"Karnataka","Sugar Mill","Mysore Sugar Processors","Mysore","KA0002"
"Kerala","Food Processing","Kozhikode Food Enterprises","Kozhikode","KL0003"
"Andhra Pradesh","Dairy Plant","Nellore Dairy Foods","Nellore","AP0004"
"Telangana","Oil Mill","Khammam Oil Agro Works","Khammam","TS0005"
"Maharashtra","Cold Storage","Solapur Cold Agencies","Solapur","MH0006"
"Gujarat","Agro Processing","Ahmedabad Agro Mills","Ahmedabad","GJ0007"
"Punjab","Flour Mill","Jalandhar Flour Products","Jalandhar","PB0008"
"Haryana","Spice Processing","Rohtak Spice FarmTech","Rohtak","HR0009"
"Uttar Pradesh","Fruit Processing","Agra Fruit Agri Unit","Agra","UP0010"
"Rajasthan","Rice Mill","Bikaner Rice Industries","Bikaner","RJ0011"
"Madhya Pradesh","Sugar Mill","Sagar Sugar Processors","Sagar","MP0012"
"Bihar","Food Processing","Bhagalpur Food Enterprises","Bhagalpur","BR0013"
"West Bengal","Dairy Plant","Malda Dairy Foods","Malda","WB0014"
"Odisha","Oil Mill","Balasore Oil Agro Works","Balasore","OD0015"
"Chhattisgarh","Cold Storage","Raipur Cold Agencies","Raipur","CG0016"
"Tamil Nadu","Agro Processing","Tiruppur Agro Mills","Tiruppur","TN0017"
"Karnataka","Flour Mill","Mysore Flour Products","Mysore","KA0018"
"Kerala","Spice Processing","Kochi Spice FarmTech","Kochi","KL0019"
"Andhra Pradesh","Fruit Processing","Guntur Fruit Agri Unit","Guntur","AP0020"
"Telangana","Rice Mill","Hyderabad Rice Industries","Hyderabad","TS0021"
"Maharashtra","Sugar Mill","Pune Sugar Processors","Pune","MH0022"
"Gujarat","Food Processing","Bhavnagar Food Enterprises","Bhavnagar","GJ0023"
"Punjab","Dairy Plant","Patiala Dairy Foods","Patiala","PB0024"
"Haryana","Oil Mill","Ambala Oil Agro Works","Ambala","HR0025"
"Uttar Pradesh","Cold Storage","Varanasi Cold Agencies","Varanasi","UP0026"
"Rajasthan","Agro Processing","Udaipur Agro Mills","Udaipur","RJ0027"
"Madhya Pradesh","Flour Mill","Gwalior Flour Products","Gwalior","MP0028"
"Bihar","Spice Processing","Gaya Spice FarmTech","Gaya","BR0029"
"West Bengal","Fruit Processing","Howrah Fruit Agri Unit","Howrah","WB0030"
"Odisha","Rice Mill","Bhubaneswar Rice Industries","Bhubaneswar","OD0031"
"Chhattisgarh","Sugar Mill","Bilaspur Sugar Processors","Bilaspur","CG0032"
"Tamil Nadu","Food Processing","Madurai Food Enterprises","Madurai","TN0033"
"Karnataka","Dairy Plant","Mysore Dairy Foods","Mysore","KA0034"
"Kerala","Oil Mill","Kannur Oil Agro Works","Kannur","KL0035"
"Andhra Pradesh","Cold Storage","Tirupati Cold Agencies","Tirupati","AP0036"
"Telangana","Agro Processing","Warangal Agro Mills","Warangal","TS0037"
"Maharashtra","Flour Mill","Nashik Flour Products","Nashik","MH0038"
"Gujarat","Spice Processing","Rajkot Spice FarmTech","Rajkot","GJ0039"
"Punjab","Fruit Processing","Bathinda Fruit Agri Unit","Bathinda","PB0040"
"Haryana","Rice Mill","Karnal Rice Industries","Karnal","HR0041"
"Uttar Pradesh","Sugar Mill","Gorakhpur Sugar Processors","Gorakhpur","UP0042"
"Rajasthan","Food Processing","Jaipur Food Enterprises","Jaipur","RJ0043"
"Madhya Pradesh","Dairy Plant","Bhopal Dairy Foods","Bhopal","MP0044"
"Bihar","Oil Mill","Purnia Oil Agro Works","Purnia","BR0045"
"West Bengal","Cold Storage","Kolkata Cold Agencies","Kolkata","WB0046"
"Odisha","Agro Processing","Cuttack Agro Mills","Cuttack","OD0047"
"Chhattisgarh","Flour Mill","Durg Flour Products","Durg","CG0048"
"Tamil Nadu","Spice Processing","Vellore Spice FarmTech","Vellore","TN0049"
"Karnataka","Fruit Processing","Mysore Fruit Agri Unit","Mysore","KA0050"
"Kerala","Rice Mill","Kozhikode Rice Industries","Kozhikode","KL0051"
"Andhra Pradesh","Sugar Mill","Nellore Sugar Processors","Nellore","AP0052"
"Telangana","Food Processing","Karimnagar Food Enterprises","Karimnagar","TS0053"
"Maharashtra","Dairy Plant","Aurangabad Dairy Foods","Aurangabad","MH0054"
"Gujarat","Oil Mill","Ahmedabad Oil Agro Works","Ahmedabad","GJ0055"
"Punjab","Cold Storage","Ludhiana Cold Agencies","Ludhiana","PB0056"
"Haryana","Agro Processing","Hisar Agro Mills","Hisar","HR0057"
"Uttar Pradesh","Flour Mill","Lucknow Flour Products","Lucknow","UP0058"
"Rajasthan","Spice Processing","Bikaner Spice FarmTech","Bikaner","RJ0059"
"Madhya Pradesh","Fruit Processing","Sagar Fruit Agri Unit","Sagar","MP0060"
"Bihar","Rice Mill","Patna Rice Industries","Patna","BR0061"
"West Bengal","Sugar Mill","Siliguri Sugar Processors","Siliguri","WB0062"
"Odisha","Food Processing","Sambalpur Food Enterprises","Sambalpur","OD0063"
"Chhattisgarh","Dairy Plant","Korba Dairy Foods","Korba","CG0064"
"Tamil Nadu","Oil Mill","Erode Oil Agro Works","Erode","TN0065"
"Karnataka","Cold Storage","Mysore Cold Agencies","Mysore","KA0066"
"Kerala","Agro Processing","Kochi Agro Mills","Kochi","KL0067"
"Andhra Pradesh","Flour Mill","Guntur Flour Products","Guntur","AP0068"
"Telangana","Spice Processing","Nizamabad Spice FarmTech","Nizamabad","TS0069"
"Maharashtra","Fruit Processing","Amravati Fruit Agri Unit","Amravati","MH0070"
"Gujarat","Rice Mill","Bhavnagar Rice Industries","Bhavnagar","GJ0071"
"Punjab","Sugar Mill","Amritsar Sugar Processors","Amritsar","PB0072"
"Haryana","Food Processing","Panipat Food Enterprises","Panipat","HR0073"
